course_id,student_id,course_name,teacher,weekday,period_start,period_end,location,weeks
C0062,20240006,传播学概论,林婷,3,3,4,逸夫楼 304,4-16周
C0063,20240006,中国文学批评史,刘洋,2,7,8,3号教学楼 103,3-10周
C0064,20240006,古代汉语,孙志刚,2,5,6,3号教学楼 202,1-9周
C0065,20240006,新闻学概论,韩博,5,1,2,逸夫楼 405,2-15周
C0066,20240006,写作理论与实践,孙志刚,4,7,8,3号教学楼 201,1-15周
C0067,20240006,形势与政策,曹鹏,2,3,4,逸夫楼 401,2-10周
C0068,20240006,大学英语（2）,韩博,4,3,4,逸夫楼 304,4-16周
C0069,20240006,中国近现代史纲要,孙志刚,4,5,6,3号教学楼 305,4-12周
C0070,20240007,嵌入式系统,孙志刚,2,3,4,实验中心 402,2-10周
C0071,20240007,高等数学A（下）,吴建国,4,7,8,1号教学楼 404,1-12周
C0072,20240007,单片机原理,彭伟,5,1,2,实验中心 404,1-14周
C0073,20240007,模拟电子技术,林婷,3,7,8,实验中心 204,2-13周
C0074,20240007,大学物理,吴建国,1,7,8,2号教学楼 402,4-11周
C0075,20240007,数字电子技术,王丽,4,1,2,实验中心 402,4-11周
C0076,20240007,中国近现代史纲要,郭晓东,1,5,6,3号教学楼 302,4-14周
C0077,20240007,形势与政策,沈洁,3,1,2,逸夫楼 105,1-14周
C0078,20240007,大学英语（2）,李志强,2,1,2,逸夫楼 102,2-9周
C0079,20240008,模拟电子技术,刘洋,2,1,2,实验中心 301,1-13周
C0080,20240008,大学物理,郭晓东,5,7,8,2号教学楼 201,2-10周
C0081,20240008,通信原理,彭伟,3,1,2,逸夫楼 103,4-14周
C0082,20240008,数字电子技术,张明华,1,5,6,实验中心 404,1-15周
C0083,20240008,高等数学A（下）,陈伟,3,7,8,1号教学楼 402,3-16周
C0084,20240008,嵌入式系统,彭伟,4,7,8,实验中心 303,2-10周
C0085,20240008,信号与系统,彭伟,2,7,8,综合教学楼 403,1-16周
C0086,20240008,大学生心理健康,沈洁,3,3,4,逸夫楼 203,3-14周
C0087,20240008,中国近现代史纲要,邓丽华,3,5,6,3号教学楼 105,2-10周
C0088,20240008,形势与政策,沈洁,4,3,4,逸夫楼 404,1-10周
C0089,20240009,分子生物学,何芳,4,5,6,综合教学楼 403,3-13周
C0090,20240009,遗传学,周晓燕,2,1,2,2号教学楼 301,2-12周
C0091,20240009,生物化学,杨帆,2,7,8,实验中心 301,2-13周
C0092,20240009,细胞生物学,刘洋,2,5,6,综合教学楼 301,2-13周
C0093,20240009,大学体育（篮球）,邓丽华,1,1,2,操场 302,4-10周
C0094,20240009,形势与政策,沈洁,1,5,6,逸夫楼 404,3-11周
C0095,20240009,中国近现代史纲要,王丽,4,1,2,3号教学楼 404,1-9周
C0096,20240010,离散数学,曹鹏,4,3,4,2号教学楼 404,4-13周
C0097,20240010,数字逻辑,马文涛,5,7,8,2号教学楼 105,1-12周
C0098,20240010,计算机网络,王丽,2,5,6,综合教学楼 202,2-10周
C0099,20240010,C语言程序设计,林婷,2,1,2,实验中心 405,4-13周
C0100,20240010,线性代数,马文涛,1,3,4,1号教学楼 304,1-12周
C0101,20240010,大学英语（2）,林婷,3,3,4,逸夫楼 105,2-11周
C0102,20240010,形势与政策,刘洋,1,1,2,逸夫楼 305,3-16周
C0103,20240011,操作系统,傅磊,4,5,6,综合教学楼 301,1-12周
C0104,20240011,软件工程,杨帆,5,1,2,逸夫楼 102,4-16周
C0105,20240011,C语言程序设计,彭伟,3,3,4,实验中心 404,1-16周
C0106,20240011,计算机组成原理,吴建国,3,7,8,综合教学楼 301,2-14周
C0107,20240011,数字逻辑,马文涛,4,7,8,2号教学楼 405,1-16周
C0108,20240011,大学体育（篮球）,杨帆,1,5,6,操场 301,4-9周
C0109,20240011,大学英语（2）,林婷,5,7,8,逸夫楼 102,3-16周
C0110,20240011,形势与政策,周晓燕,4,1,2,逸夫楼 305,2-13周
C0111,20240012,嵌入式系统,王丽,1,7,8,实验中心 201,4-10周
C0112,20240012,高等数学A（下）,马文涛,2,7,8,1号教学楼 304,4-16周
C0113,20240012,通信原理,郭晓东,5,3,4,逸夫楼 205,2-10周
C0114,20240012,信号与系统,吴建国,3,7,8,综合教学楼 301,3-13周
C0115,20240012,大学物理,陈伟,5,7,8,2号教学楼 405,4-14周
C0116,20240012,模拟电子技术,周晓燕,4,5,6,实验中心 205,4-12周
C0117,20240012,中国近现代史纲要,吴建国,4,1,2,3号教学楼 404,4-11周
C0118,20240012,形势与政策,赵建国,2,5,6,逸夫楼 401,4-9周
C0119,20240013,宏观经济学,吴建国,3,7,8,逸夫楼 405,1-10周
C0120,20240013,会计学基础,孙志刚,2,5,6,3号教学楼 104,1-10周
C0121,20240013,计量经济学,马文涛,4,3,4,2号教学楼 101,3-9周
C0122,20240013,微观经济学,何芳,3,5,6,逸夫楼 402,2-15周
C0123,20240013,市场营销学,刘洋,5,3,4,逸夫楼 201,4-12周
C0124,20240013,管理学原理,杨帆,2,7,8,3号教学楼 403,1-16周
C0125,20240013,形势与政策,王丽,3,3,4,逸夫楼 403,3-15周
C0126,20240013,大学体育（篮球）,赵建国,4,7,8,操场 204,3-13周
C0127,20240013,大学英语（2）,郭晓东,3,1,2,逸夫楼 301,1-16周
C0128,20240014,宏观经济学,韩博,1,5,6,逸夫楼 105,3-11周
C0129,20240014,市场营销学,刘洋,3,7,8,逸夫楼 202,3-13周
C0130,20240014,管理学原理,沈洁,2,5,6,3号教学楼 303,1-16周
C0131,20240014,微观经济学,孙志刚,1,3,4,逸夫楼 405,3-10周
C0132,20240014,会计学基础,杨帆,4,1,2,3号教学楼 104,3-13周
C0133,20240014,计量经济学,何芳,5,7,8,2号教学楼 102,4-9周
C0134,20240014,大学生心理健康,傅磊,5,5,6,逸夫楼 201,4-13周
C0135,20240014,大学英语（2）,李志强,2,1,2,逸夫楼 304,1-10周
C0136,20240015,数据库原理,傅磊,1,7,8,2号教学楼 403,1-14周
C0137,20240015,离散数学,韩博,2,7,8,2号教学楼 203,1-14周
C0138,20240015,计算机组成原理,李志强,5,5,6,综合教学楼 403,2-10周
C0139,20240015,操作系统,周晓燕,4,1,2,综合教学楼 101,3-12周
C0140,20240015,数据结构与算法,王丽,2,3,4,综合教学楼 205,2-12周
C0141,20240015,形势与政策,傅磊,3,3,4,逸夫楼 103,2-11周
C0142,20240015,马克思主义基本原理,张明华,2,1,2,逸夫楼 201,3-12周
C0143,20240015,大学体育（篮球）,杨帆,1,3,4,操场 102,4-10周
C0144,20240016,微观经济学,韩博,5,5,6,逸夫楼 101,4-15周
C0145,20240016,会计学基础,沈洁,4,1,2,3号教学楼 401,1-14周
C0146,20240016,市场营销学,王丽,5,3,4,逸夫楼 203,3-15周
C0147,20240016,宏观经济学,赵建国,4,7,8,逸夫楼 105,2-15周
C0148,20240016,计量经济学,林婷,4,3,4,2号教学楼 304,4-15周
C0149,20240016,管理学原理,林婷,1,5,6,3号教学楼 303,3-11周
C0150,20240016,形势与政策,王丽,1,1,2,逸夫楼 401,3-11周
C0151,20240016,大学英语（2）,彭伟,5,1,2,逸夫楼 301,4-14周
C0152,20240017,遗传学,孙志刚,2,7,8,2号教学楼 103,3-10周
C0153,20240017,细胞生物学,林婷,3,3,4,综合教学楼 105,3-9周
C0154,20240017,生物化学,马文涛,2,5,6,实验中心 303,1-11周
C0155,20240017,分子生物学,张明华,1,3,4,综合教学楼 105,2-15周
C0156,20240017,中国近现代史纲要,吴建国,4,7,8,3号教学楼 203,3-14周
C0157,20240017,大学英语（2）,李志强,5,1,2,逸夫楼 202,1-10周
C0158,20240017,马克思主义基本原理,林婷,3,7,8,逸夫楼 405,4-15周
C0159,20240018,宏观经济学,李志强,5,5,6,逸夫楼 204,1-9周
C0160,20240018,市场营销学,周晓燕,2,5,6,逸夫楼 203,3-14周
C0161,20240018,微观经济学,沈洁,1,1,2,逸夫楼 402,2-15周
C0162,20240018,计量经济学,曹鹏,5,3,4,2号教学楼 301,4-9周
C0163,20240018,管理学原理,韩博,4,1,2,3号教学楼 103,4-15周
C0164,20240018,会计学基础,赵建国,4,5,6,3号教学楼 401,3-11周
C0165,20240018,大学生心理健康,何芳,5,7,8,逸夫楼 104,1-12周
C0166,20240018,形势与政策,曹鹏,4,7,8,逸夫楼 104,3-14周
C0167,20240018,大学体育（篮球）,曹鹏,2,1,2,操场 105,2-14周
C0168,20240019,教育学原理,沈洁,1,3,4,3号教学楼 405,4-14周
C0169,20240019,教育心理学,韩博,3,3,4,逸夫楼 104,4-13周
C0170,20240019,课程与教学论,何芳,3,1,2,逸夫楼 103,4-16周
C0171,20240019,教育技术学,何芳,1,1,2,综合教学楼 301,1-15周
C0172,20240019,马克思主义基本原理,韩博,4,1,2,逸夫楼 203,4-11周
C0173,20240019,大学生心理健康,赵建国,1,7,8,逸夫楼 301,2-9周
C0174,20240019,形势与政策,韩博,2,7,8,逸夫楼 203,3-13周
C0175,20240020,英语写作,马文涛,5,7,8,逸夫楼 305,2-14周
C0176,20240020,英汉翻译,何芳,1,3,4,逸夫楼 304,2-10周
C0177,20240020,英美文学,吴建国,3,7,8,3号教学楼 205,1-15周
C0178,20240020,综合英语（4）,张明华,5,5,6,逸夫楼 303,2-12周
C0179,20240020,英语视听说,陈伟,2,3,4,逸夫楼 201,3-10周
C0180,20240020,中国近现代史纲要,吴建国,5,1,2,3号教学楼 205,4-11周
C0181,20240020,大学英语（2）,韩博,5,3,4,逸夫楼 104,3-12周
C0182,20240021,计算机网络,彭伟,2,5,6,综合教学楼 404,3-15周
C0183,20240021,C语言程序设计,刘洋,5,7,8,实验中心 205,2-13周
C0184,20240021,软件工程,何芳,1,7,8,逸夫楼 105,1-13周
C0185,20240021,操作系统,杨帆,1,3,4,综合教学楼 405,2-15周
C0186,20240021,概率论与数理统计,张明华,4,5,6,2号教学楼 401,4-14周
C0187,20240021,数据库原理,王丽,2,7,8,2号教学楼 302,1-14周
C0188,20240021,中国近现代史纲要,陈伟,1,5,6,3号教学楼 201,3-16周
C0189,20240021,大学体育（篮球）,王丽,4,1,2,操场 103,2-11周
C0190,20240022,中国文学批评史,王丽,4,7,8,3号教学楼 104,1-12周
C0191,20240022,写作理论与实践,林婷,2,5,6,3号教学楼 105,3-12周
C0192,20240022,传播学概论,刘洋,5,7,8,逸夫楼 105,3-10周
C0193,20240022,现代文学,郭晓东,5,1,2,逸夫楼 401,4-14周
C0194,20240022,古代汉语,何芳,3,1,2,3号教学楼 103,2-10周
C0195,20240022,新闻学概论,陈伟,5,5,6,逸夫楼 103,3-11周
C0196,20240022,大学英语（2）,王丽,2,3,4,逸夫楼 401,3-12周
C0197,20240022,大学生心理健康,李志强,1,3,4,逸夫楼 303,4-16周
C0198,20240022,马克思主义基本原理,赵建国,3,5,6,逸夫楼 304,4-16周
C0199,20240023,细胞生物学,林婷,4,1,2,综合教学楼 205,3-14周
C0200,20240023,生物化学,吴建国,1,1,2,实验中心 303,4-15周
C0201,20240023,分子生物学,何芳,2,7,8,综合教学楼 401,3-15周
C0202,20240023,遗传学,王丽,3,1,2,2号教学楼 403,2-9周
C0203,20240023,形势与政策,王丽,1,3,4,逸夫楼 203,3-15周
C0204,20240023,中国近现代史纲要,傅磊,5,1,2,3号教学楼 204,3-14周
C0205,20240023,大学英语（2）,曹鹏,5,3,4,逸夫楼 304,3-13周
C0206,20240024,高等数学A（下）,傅磊,4,3,4,1号教学楼 304,2-10周
C0207,20240024,物理化学,韩博,2,1,2,2号教学楼 204,1-14周
C0208,20240024,化工原理,邓丽华,3,1,2,实验中心 303,2-11周
C0209,20240024,有机化学,赵建国,3,3,4,实验中心 202,2-16周
C0210,20240024,无机化学,邓丽华,1,5,6,实验中心 304,2-10周
C0211,20240024,中国近现代史纲要,曹鹏,4,7,8,3号教学楼 404,1-11周
C0212,20240024,大学生心理健康,陈伟,5,5,6,逸夫楼 202,4-9周
C0213,20240025,英美文学,王丽,5,5,6,3号教学楼 302,3-11周
C0214,20240025,英语视听说,曹鹏,3,1,2,逸夫楼 205,2-11周
C0215,20240025,英语写作,张明华,5,1,2,逸夫楼 101,3-12周
C0216,20240025,综合英语（4）,傅磊,5,7,8,逸夫楼 104,3-13周
C0217,20240025,英汉翻译,郭晓东,4,3,4,逸夫楼 304,1-9周
C0218,20240025,大学生心理健康,林婷,2,7,8,逸夫楼 404,2-14周
C0219,20240025,马克思主义基本原理,吴建国,5,3,4,逸夫楼 303,4-11周
C0220,20240025,中国近现代史纲要,韩博,3,3,4,3号教学楼 103,4-12周
C0221,20240026,现代文学,周晓燕,5,5,6,逸夫楼 204,4-16周
C0222,20240026,中国文学批评史,张明华,3,7,8,3号教学楼 104,4-12周
C0223,20240026,新闻学概论,李志强,2,5,6,逸夫楼 103,4-16周
C0224,20240026,古代汉语,赵建国,3,1,2,3号教学楼 402,3-14周
C0225,20240026,传播学概论,李志强,4,5,6,逸夫楼 401,2-14周
C0226,20240026,马克思主义基本原理,曹鹏,1,7,8,逸夫楼 405,3-10周
C0227,20240026,中国近现代史纲要,郭晓东,2,1,2,3号教学楼 303,3-11周
C0228,20240027,市场营销学,曹鹏,3,7,8,逸夫楼 402,2-14周
C0229,20240027,计量经济学,刘洋,5,5,6,2号教学楼 405,3-14周
C0230,20240027,会计学基础,彭伟,5,7,8,3号教学楼 304,1-14周
C0231,20240027,管理学原理,林婷,3,1,2,3号教学楼 301,4-13周
C0232,20240027,微观经济学,李志强,5,3,4,逸夫楼 402,4-11周
C0233,20240027,大学英语（2）,彭伟,2,1,2,逸夫楼 102,1-16周
C0234,20240027,马克思主义基本原理,周晓燕,2,7,8,逸夫楼 405,4-9周
C0235,20240028,化工原理,邓丽华,5,5,6,实验中心 303,4-12周
C0236,20240028,分析化学,邓丽华,2,5,6,实验中心 302,3-13周
C0237,20240028,物理化学,吴建国,2,7,8,2号教学楼 403,3-13周
C0238,20240028,无机化学,郭晓东,1,7,8,实验中心 302,3-9周
C0239,20240028,有机化学,何芳,3,1,2,实验中心 403,4-12周
C0240,20240028,高等数学A（下）,傅磊,2,1,2,1号教学楼 202,1-12周
C0241,20240028,中国近现代史纲要,赵建国,3,7,8,3号教学楼 201,2-15周
C0242,20240028,马克思主义基本原理,周晓燕,4,7,8,逸夫楼 303,3-9周
C0243,20240028,大学体育（篮球）,邓丽华,1,3,4,操场 102,4-11周
C0244,20240029,通信原理,吴建国,5,1,2,逸夫楼 304,4-11周
C0245,20240029,嵌入式系统,杨帆,5,7,8,实验中心 201,3-11周
C0246,20240029,数字电子技术,刘洋,4,5,6,实验中心 103,3-12周
C0247,20240029,大学物理,林婷,2,7,8,2号教学楼 301,4-10周
C0248,20240029,模拟电子技术,沈洁,2,3,4,实验中心 302,1-13周
C0249,20240029,大学英语（2）,韩博,4,3,4,逸夫楼 303,3-9周
C0250,20240029,中国近现代史纲要,孙志刚,3,5,6,3号教学楼 101,4-13周
C0251,20240030,通信原理,沈洁,2,3,4,逸夫楼 204,3-15周
C0252,20240030,单片机原理,邓丽华,5,7,8,实验中心 202,1-16周
C0253,20240030,信号与系统,王丽,5,5,6,综合教学楼 101,2-11周
C0254,20240030,模拟电子技术,曹鹏,2,5,6,实验中心 401,2-16周
C0255,20240030,高等数学A（下）,李志强,1,7,8,1号教学楼 402,4-16周
C0256,20240030,中国近现代史纲要,邓丽华,5,1,2,3号教学楼 403,1-15周
C0257,20240030,形势与政策,周晓燕,3,1,2,逸夫楼 101,4-14周
C0258,20240030,马克思主义基本原理,王丽,1,1,2,逸夫楼 401,3-15周
C0259,20240031,分子生物学,何芳,1,3,4,综合教学楼 102,4-11周
C0260,20240031,细胞生物学,张明华,2,1,2,综合教学楼 304,4-15周
C0261,20240031,遗传学,韩博,2,3,4,2号教学楼 302,3-12周
C0262,20240031,生物化学,林婷,1,1,2,实验中心 102,2-10周
C0263,20240031,大学体育（篮球）,孙志刚,4,1,2,操场 104,4-12周
C0264,20240031,大学生心理健康,李志强,5,3,4,逸夫楼 205,3-12周
C0265,20240031,形势与政策,彭伟,5,5,6,逸夫楼 302,3-11周
C0266,20240032,数字电子技术,曹鹏,3,7,8,实验中心 304,4-11周
C0267,20240032,嵌入式系统,孙志刚,2,7,8,实验中心 203,2-16周
C0268,20240032,模拟电子技术,林婷,1,7,8,实验中心 204,2-13周
C0269,20240032,单片机原理,王丽,2,5,6,实验中心 403,1-12周
C0270,20240032,高等数学A（下）,郭晓东,1,5,6,1号教学楼 101,2-12周
C0271,20240032,信号与系统,吴建国,4,3,4,综合教学楼 301,2-12周
C0272,20240032,通信原理,郭晓东,2,3,4,逸夫楼 205,3-13周
C0273,20240032,形势与政策,邓丽华,4,7,8,逸夫楼 303,3-14周
C0274,20240032,大学体育（篮球）,韩博,5,7,8,操场 104,3-12周
C0275,20240032,大学英语（2）,林婷,3,5,6,逸夫楼 105,2-11周
C0276,20240033,无机化学,沈洁,4,3,4,实验中心 303,4-16周
C0277,20240033,分析化学,陈伟,3,3,4,实验中心 402,1-9周
C0278,20240033,有机化学,张明华,1,1,2,实验中心 402,2-10周
C0279,20240033,化工原理,周晓燕,2,1,2,实验中心 403,1-16周
C0280,20240033,高等数学A（下）,张明华,4,1,2,1号教学楼 401,1-13周
C0281,20240033,中国近现代史纲要,张明华,5,5,6,3号教学楼 402,1-10周
C0282,20240033,马克思主义基本原理,孙志刚,5,3,4,逸夫楼 205,3-14周
C0283,20240034,有机化学,郭晓东,1,1,2,实验中心 404,4-9周
C0284,20240034,高等数学A（下）,王丽,1,3,4,1号教学楼 404,3-10周
C0285,20240034,无机化学,孙志刚,5,1,2,实验中心 205,4-13周
C0286,20240034,化工原理,刘洋,3,1,2,实验中心 301,2-11周
C0287,20240034,物理化学,马文涛,4,1,2,2号教学楼 205,2-15周
C0288,20240034,分析化学,郭晓东,5,5,6,实验中心 201,3-9周
C0289,20240034,中国近现代史纲要,孙志刚,1,7,8,3号教学楼 103,4-14周
C0290,20240034,大学英语（2）,韩博,1,5,6,逸夫楼 402,3-15周
C0291,20240035,英语视听说,陈伟,2,7,8,逸夫楼 403,3-10周
C0292,20240035,英语写作,马文涛,1,1,2,逸夫楼 403,3-10周
C0293,20240035,综合英语（4）,刘洋,2,1,2,逸夫楼 404,4-10周
C0294,20240035,英美文学,傅磊,3,1,2,3号教学楼 304,1-13周
C0295,20240035,英汉翻译,王丽,4,7,8,逸夫楼 205,2-15周
C0296,20240035,大学英语（2）,杨帆,2,3,4,逸夫楼 303,4-11周
C0297,20240035,中国近现代史纲要,林婷,1,3,4,3号教学楼 304,3-16周
C0298,20240036,数据结构与算法,张明华,2,5,6,综合教学楼 403,4-14周
C0299,20240036,C语言程序设计,林婷,4,5,6,实验中心 203,3-12周
C0300,20240036,概率论与数理统计,吴建国,2,7,8,2号教学楼 304,2-14周
C0301,20240036,Python程序设计,彭伟,1,3,4,实验中心 205,1-16周
C0302,20240036,操作系统,林婷,3,1,2,综合教学楼 402,3-12周
C0303,20240036,大学体育（篮球）,林婷,3,3,4,操场 401,4-16周
C0304,20240036,大学英语（2）,邓丽华,5,7,8,逸夫楼 405,1-14周
C0305,20240037,教育心理学,吴建国,1,7,8,逸夫楼 401,1-10周
C0306,20240037,教育技术学,曹鹏,3,3,4,综合教学楼 204,3-15周
C0307,20240037,课程与教学论,何芳,4,3,4,逸夫楼 104,1-13周
C0308,20240037,教育学原理,赵建国,4,1,2,3号教学楼 203,3-14周
C0309,20240037,大学生心理健康,何芳,5,7,8,逸夫楼 401,4-16周
C0310,20240037,形势与政策,马文涛,3,1,2,逸夫楼 101,1-14周
C0311,20240038,大学物理,刘洋,2,7,8,2号教学楼 204,4-9周
C0312,20240038,单片机原理,韩博,5,3,4,实验中心 404,1-12周
C0313,20240038,嵌入式系统,王丽,2,5,6,实验中心 105,2-14周
C0314,20240038,通信原理,韩博,3,3,4,逸夫楼 103,4-14周
C0315,20240038,信号与系统,傅磊,5,7,8,综合教学楼 405,1-14周
C0316,20240038,模拟电子技术,傅磊,3,7,8,实验中心 203,1-11周
C0317,20240038,高等数学A（下）,孙志刚,3,1,2,1号教学楼 301,2-14周
C0318,20240038,形势与政策,彭伟,4,3,4,逸夫楼 404,2-16周
C0319,20240038,大学体育（篮球）,陈伟,4,5,6,操场 203,4-9周
C0320,20240038,大学生心理健康,林婷,4,7,8,逸夫楼 404,2-10周
C0321,20240039,生物化学,彭伟,2,7,8,实验中心 405,1-10周
C0322,20240039,遗传学,邓丽华,3,5,6,2号教学楼 104,2-15周
C0323,20240039,分子生物学,马文涛,1,3,4,综合教学楼 104,3-14周
C0324,20240039,细胞生物学,赵建国,1,7,8,综合教学楼 202,3-15周
C0325,20240039,马克思主义基本原理,周晓燕,2,3,4,逸夫楼 201,3-13周
C0326,20240039,形势与政策,吴建国,5,3,4,逸夫楼 303,3-10周
C0327,20240039,中国近现代史纲要,陈伟,1,5,6,3号教学楼 202,2-14周
C0328,20240040,通信原理,曹鹏,1,7,8,逸夫楼 303,4-16周
C0329,20240040,数字电子技术,王丽,3,1,2,实验中心 403,1-15周
C0330,20240040,大学物理,周晓燕,2,7,8,2号教学楼 403,3-13周
C0331,20240040,信号与系统,彭伟,3,3,4,综合教学楼 403,1-9周
C0332,20240040,模拟电子技术,刘洋,1,1,2,实验中心 404,1-15周
C0333,20240040,大学体育（篮球）,马文涛,2,3,4,操场 203,1-14周
C0334,20240040,大学生心理健康,赵建国,4,1,2,逸夫楼 102,4-10周
C0335,20240040,大学英语（2）,张明华,5,7,8,逸夫楼 103,1-15周
C0336,20240041,英语视听说,何芳,1,5,6,逸夫楼 302,4-11周
C0337,20240041,英语写作,曹鹏,2,1,2,逸夫楼 105,2-16周
C0338,20240041,综合英语（4）,陈伟,3,3,4,逸夫楼 405,4-12周
C0339,20240041,英汉翻译,陈伟,1,1,2,逸夫楼 105,4-14周
C0340,20240041,英美文学,陈伟,4,5,6,3号教学楼 203,1-12周
C0341,20240041,大学生心理健康,张明华,5,5,6,逸夫楼 302,2-15周
C0342,20240041,大学英语（2）,孙志刚,3,1,2,逸夫楼 404,1-12周
C0343,20240042,物理化学,沈洁,3,3,4,2号教学楼 101,1-9周
C0344,20240042,分析化学,郭晓东,1,1,2,实验中心 305,4-15周
C0345,20240042,高等数学A（下）,邓丽华,4,1,2,1号教学楼 203,1-13周
C0346,20240042,无机化学,陈伟,1,3,4,实验中心 304,1-13周
C0347,20240042,有机化学,李志强,4,3,4,实验中心 201,4-10周
C0348,20240042,化工原理,刘洋,2,1,2,实验中心 403,3-11周
C0349,20240042,马克思主义基本原理,张明华,3,1,2,逸夫楼 304,3-10周
C0350,20240042,大学体育（篮球）,曹鹏,4,7,8,操场 301,4-11周
C0351,20240042,形势与政策,孙志刚,5,1,2,逸夫楼 101,1-12周
